wikipedia/word break,aws-c7a.4xlarge,308.81,2026-08-17T00:00:00Z,5a2e090
wikipedia/word break + word_like,aws-c7a.4xlarge,318.72,2026-08-17T00:00:00Z,5a2e090
wikipedia/sentence break,aws-c7a.4xlarge,368.73,2026-08-17T00:00:00Z,5a2e090
analysis/tokenize only (case sensitive),aws-c7a.4xlarge,225.72,2026-08-17T00:00:00Z,5a2e090
analysis/+ lowercase,aws-c7a.4xlarge,205.25,2026-08-17T00:00:00Z,5a2e090
analysis/+ stopwords,aws-c7a.4xlarge,173.74,2026-08-17T00:00:00Z,5a2e090
analysis/+ stemming,aws-c7a.4xlarge,77.411,2026-08-17T00:00:00Z,5a2e090
analysis/full pipeline,aws-c7a.4xlarge,75.177,2026-08-17T00:00:00Z,5a2e090
wikipedia/word break,aws-c7g.4xlarge,268.05,2026-08-17T00:00:00Z,5a2e090
wikipedia/word break + word_like,aws-c7g.4xlarge,255.75,2026-08-17T00:00:00Z,5a2e090
wikipedia/sentence break,aws-c7g.4xlarge,274.38,2026-08-17T00:00:00Z,5a2e090
analysis/tokenize only (case sensitive),aws-c7g.4xlarge,178.01,2026-08-17T00:00:00Z,5a2e090
analysis/+ lowercase,aws-c7g.4xlarge,164.54,2026-08-17T00:00:00Z,5a2e090
analysis/+ stopwords,aws-c7g.4xlarge,145.16,2026-08-17T00:00:00Z,5a2e090
analysis/+ stemming,aws-c7g.4xlarge,61.546,2026-08-17T00:00:00Z,5a2e090
analysis/full pipeline,aws-c7g.4xlarge,60.716,2026-08-17T00:00:00Z,5a2e090
wikipedia/word break,aws-c7i.4xlarge,233.56,2026-08-17T00:00:00Z,5a2e090
wikipedia/word break + word_like,aws-c7i.4xlarge,231.05,2026-08-17T00:00:00Z,5a2e090
wikipedia/sentence break,aws-c7i.4xlarge,307.39,2026-08-17T00:00:00Z,5a2e090
analysis/tokenize only (case sensitive),aws-c7i.4xlarge,177.46,2026-08-17T00:00:00Z,5a2e090
analysis/+ lowercase,aws-c7i.4xlarge,163.58,2026-08-17T00:00:00Z,5a2e090
analysis/+ stopwords,aws-c7i.4xlarge,137.18,2026-08-17T00:00:00Z,5a2e090
analysis/+ stemming,aws-c7i.4xlarge,65.167,2026-08-17T00:00:00Z,5a2e090
analysis/full pipeline,aws-c7i.4xlarge,62.044,2026-08-17T00:00:00Z,5a2e090
wikipedia/word break,azure-Standard_D8ads_v6,298.30,2026-08-17T00:00:00Z,5a2e090
wikipedia/word break + word_like,azure-Standard_D8ads_v6,304.09,2026-08-17T00:00:00Z,5a2e090
wikipedia/sentence break,azure-Standard_D8ads_v6,369.45,2026-08-17T00:00:00Z,5a2e090
analysis/tokenize only (case sensitive),azure-Standard_D8ads_v6,229.75,2026-08-17T00:00:00Z,5a2e090
analysis/+ lowercase,azure-Standard_D8ads_v6,207.80,2026-08-17T00:00:00Z,5a2e090
analysis/+ stopwords,azure-Standard_D8ads_v6,176.63,2026-08-17T00:00:00Z,5a2e090
analysis/+ stemming,azure-Standard_D8ads_v6,82.267,2026-08-17T00:00:00Z,5a2e090
analysis/full pipeline,azure-Standard_D8ads_v6,79.018,2026-08-17T00:00:00Z,5a2e090
wikipedia/word break,azure-Standard_D8pds_v6,339.20,2026-08-17T00:00:00Z,5a2e090
wikipedia/word break + word_like,azure-Standard_D8pds_v6,315.04,2026-08-17T00:00:00Z,5a2e090
wikipedia/sentence break,azure-Standard_D8pds_v6,385.41,2026-08-17T00:00:00Z,5a2e090
analysis/tokenize only (case sensitive),azure-Standard_D8pds_v6,224.74,2026-08-17T00:00:00Z,5a2e090
analysis/+ lowercase,azure-Standard_D8pds_v6,207.11,2026-08-17T00:00:00Z,5a2e090
analysis/+ stopwords,azure-Standard_D8pds_v6,184.07,2026-08-17T00:00:00Z,5a2e090
analysis/+ stemming,azure-Standard_D8pds_v6,74.453,2026-08-17T00:00:00Z,5a2e090
analysis/full pipeline,azure-Standard_D8pds_v6,75.608,2026-08-17T00:00:00Z,5a2e090
wikipedia/word break,azure-Standard_D8ds_v6,248.07,2026-08-17T00:00:00Z,5a2e090
wikipedia/word break + word_like,azure-Standard_D8ds_v6,253.71,2026-08-17T00:00:00Z,5a2e090
wikipedia/sentence break,azure-Standard_D8ds_v6,321.45,2026-08-17T00:00:00Z,5a2e090
analysis/tokenize only (case sensitive),azure-Standard_D8ds_v6,193.39,2026-08-17T00:00:00Z,5a2e090
analysis/+ lowercase,azure-Standard_D8ds_v6,179.96,2026-08-17T00:00:00Z,5a2e090
