wikipedia/word break,aws-c7a.4xlarge,307.81,2026-06-17T00:00:00Z,5f59e7d
wikipedia/word break + word_like,aws-c7a.4xlarge,312.27,2026-06-17T00:00:00Z,5f59e7d
wikipedia/sentence break,aws-c7a.4xlarge,368.31,2026-06-17T00:00:00Z,5f59e7d
analysis/tokenize only (case sensitive),aws-c7a.4xlarge,245.30,2026-06-17T00:00:00Z,5f59e7d
analysis/+ lowercase,aws-c7a.4xlarge,190.04,2026-06-17T00:00:00Z,5f59e7d
analysis/+ stopwords,aws-c7a.4xlarge,164.13,2026-06-17T00:00:00Z,5f59e7d
analysis/+ stemming,aws-c7a.4xlarge,76.134,2026-06-17T00:00:00Z,5f59e7d
analysis/full pipeline,aws-c7a.4xlarge,73.606,2026-06-17T00:00:00Z,5f59e7d
wikipedia/word break,aws-c7i.4xlarge,266.72,2026-06-17T00:00:00Z,5f59e7d
wikipedia/word break + word_like,aws-c7i.4xlarge,264.07,2026-06-17T00:00:00Z,5f59e7d
wikipedia/sentence break,aws-c7i.4xlarge,339.03,2026-06-17T00:00:00Z,5f59e7d
analysis/tokenize only (case sensitive),aws-c7i.4xlarge,216.72,2026-06-17T00:00:00Z,5f59e7d
analysis/+ lowercase,aws-c7i.4xlarge,177.47,2026-06-17T00:00:00Z,5f59e7d
analysis/+ stopwords,aws-c7i.4xlarge,150.59,2026-06-17T00:00:00Z,5f59e7d
analysis/+ stemming,aws-c7i.4xlarge,74.115,2026-06-17T00:00:00Z,5f59e7d
analysis/full pipeline,aws-c7i.4xlarge,71.232,2026-06-17T00:00:00Z,5f59e7d
wikipedia/word break,aws-c7g.4xlarge,267.90,2026-06-17T00:00:00Z,5f59e7d
wikipedia/word break + word_like,aws-c7g.4xlarge,254.46,2026-06-17T00:00:00Z,5f59e7d
wikipedia/sentence break,aws-c7g.4xlarge,277.64,2026-06-17T00:00:00Z,5f59e7d
analysis/tokenize only (case sensitive),aws-c7g.4xlarge,185.80,2026-06-17T00:00:00Z,5f59e7d
analysis/+ lowercase,aws-c7g.4xlarge,152.19,2026-06-17T00:00:00Z,5f59e7d
analysis/+ stopwords,aws-c7g.4xlarge,136.85,2026-06-17T00:00:00Z,5f59e7d
analysis/+ stemming,aws-c7g.4xlarge,60.146,2026-06-17T00:00:00Z,5f59e7d
analysis/full pipeline,aws-c7g.4xlarge,59.618,2026-06-17T00:00:00Z,5f59e7d
wikipedia/word break,azure-Standard_D8ads_v6,321.57,2026-06-17T00:00:00Z,5f59e7d
wikipedia/word break + word_like,azure-Standard_D8ads_v6,316.57,2026-06-17T00:00:00Z,5f59e7d
wikipedia/sentence break,azure-Standard_D8ads_v6,368.82,2026-06-17T00:00:00Z,5f59e7d
analysis/tokenize only (case sensitive),azure-Standard_D8ads_v6,231.93,2026-06-17T00:00:00Z,5f59e7d
analysis/+ lowercase,azure-Standard_D8ads_v6,186.61,2026-06-17T00:00:00Z,5f59e7d
analysis/+ stopwords,azure-Standard_D8ads_v6,160.38,2026-06-17T00:00:00Z,5f59e7d
analysis/+ stemming,azure-Standard_D8ads_v6,78.973,2026-06-17T00:00:00Z,5f59e7d
analysis/full pipeline,azure-Standard_D8ads_v6,75.554,2026-06-17T00:00:00Z,5f59e7d
wikipedia/word break,azure-Standard_D8ds_v6,271.47,2026-06-17T00:00:00Z,5f59e7d
wikipedia/word break + word_like,azure-Standard_D8ds_v6,254.16,2026-06-17T00:00:00Z,5f59e7d
wikipedia/sentence break,azure-Standard_D8ds_v6,326.45,2026-06-17T00:00:00Z,5f59e7d
analysis/tokenize only (case sensitive),azure-Standard_D8ds_v6,206.32,2026-06-17T00:00:00Z,5f59e7d
analysis/+ lowercase,azure-Standard_D8ds_v6,165.51,2026-06-17T00:00:00Z,5f59e7d
analysis/+ stopwords,azure-Standard_D8ds_v6,142.39,2026-06-17T00:00:00Z,5f59e7d
analysis/+ stemming,azure-Standard_D8ds_v6,73.891,2026-06-17T00:00:00Z,5f59e7d
analysis/full pipeline,azure-Standard_D8ds_v6,69.610,2026-06-17T00:00:00Z,5f59e7d
wikipedia/word break,azure-Standard_D8pds_v6,339.23,2026-06-17T00:00:00Z,5f59e7d
wikipedia/word break + word_like,azure-Standard_D8pds_v6,315.15,2026-06-17T00:00:00Z,5f59e7d
wikipedia/sentence break,azure-Standard_D8pds_v6,385.76,2026-06-17T00:00:00Z,5f59e7d
analysis/tokenize only (case sensitive),azure-Standard_D8pds_v6,237.04,2026-06-17T00:00:00Z,5f59e7d
analysis/+ lowercase,azure-Standard_D8pds_v6,193.41,2026-06-17T00:00:00Z,5f59e7d
analysis/+ stopwords,azure-Standard_D8pds_v6,173.25,2026-06-17T00:00:00Z,5f59e7d
analysis/+ stemming,azure-Standard_D8pds_v6,73.798,2026-06-17T00:00:00Z,5f59e7d
analysis/full pipeline,azure-Standard_D8pds_v6,74.223,2026-06-17T00:00:00Z,5f59e7d
wikipedia/word break,c4d-standard-16-lssd,340.42,2026-06-17T00:00:00Z,5f59e7d
wikipedia/word break + word_like,c4d-standard-16-lssd,338.97,2026-06-17T00:00:00Z,5f59e7d
wikipedia/sentence break,c4d-standard-16-lssd,400.63,2026-06-17T00:00:00Z,5f59e7d
analysis/tokenize only (case sensitive),c4d-standard-16-lssd,284.39,2026-06-17T00:00:00Z,5f59e7d
analysis/+ lowercase,c4d-standard-16-lssd,226.99,2026-06-17T00:00:00Z,5f59e7d
analysis/+ stopwords,c4d-standard-16-lssd,187.07,2026-06-17T00:00:00Z,5f59e7d
analysis/+ stemming,c4d-standard-16-lssd,96.807,2026-06-17T00:00:00Z,5f59e7d
analysis/full pipeline,c4d-standard-16-lssd,92.556,2026-06-17T00:00:00Z,5f59e7d
wikipedia/word break,c4a-standard-16-lssd,348.05,2026-06-17T00:00:00Z,5f59e7d
