wikipedia/word break,c4a-standard-8-lssd,358.98,2026-06-03T20:29:49Z,b2c1873
wikipedia/word break + word_like,c4a-standard-8-lssd,330.67,2026-06-03T20:29:49Z,b2c1873
wikipedia/sentence break,c4a-standard-8-lssd,325.53,2026-06-03T20:29:49Z,b2c1873
analysis/tokenize only (case sensitive),c4a-standard-8-lssd,234.22,2026-06-03T20:29:49Z,b2c1873
analysis/+ lowercase,c4a-standard-8-lssd,191.26,2026-06-03T20:29:49Z,b2c1873
analysis/+ stopwords,c4a-standard-8-lssd,171.53,2026-06-03T20:29:49Z,b2c1873
analysis/+ stemming,c4a-standard-8-lssd,80.922,2026-06-03T20:29:49Z,b2c1873
analysis/full pipeline,c4a-standard-8-lssd,80.793,2026-06-03T20:29:49Z,b2c1873
wikipedia/word break,c4d-standard-8-lssd,339.14,2026-06-03T20:29:49Z,b2c1873
wikipedia/word break + word_like,c4d-standard-8-lssd,336.57,2026-06-03T20:29:49Z,b2c1873
wikipedia/sentence break,c4d-standard-8-lssd,397.04,2026-06-03T20:29:49Z,b2c1873
analysis/tokenize only (case sensitive),c4d-standard-8-lssd,271.98,2026-06-03T20:29:49Z,b2c1873
analysis/+ lowercase,c4d-standard-8-lssd,225.90,2026-06-03T20:29:49Z,b2c1873
analysis/+ stopwords,c4d-standard-8-lssd,184.20,2026-06-03T20:29:49Z,b2c1873
analysis/+ stemming,c4d-standard-8-lssd,95.094,2026-06-03T20:29:49Z,b2c1873
analysis/full pipeline,c4d-standard-8-lssd,91.005,2026-06-03T20:29:49Z,b2c1873
wikipedia/word break,c4-standard-8-lssd,298.59,2026-06-03T20:29:49Z,b2c1873
wikipedia/word break + word_like,c4-standard-8-lssd,294.09,2026-06-03T20:29:49Z,b2c1873
wikipedia/sentence break,c4-standard-8-lssd,378.05,2026-06-03T20:29:49Z,b2c1873
analysis/tokenize only (case sensitive),c4-standard-8-lssd,242.83,2026-06-03T20:29:49Z,b2c1873
analysis/+ lowercase,c4-standard-8-lssd,201.20,2026-06-03T20:29:49Z,b2c1873
analysis/+ stopwords,c4-standard-8-lssd,173.53,2026-06-03T20:29:49Z,b2c1873
analysis/+ stemming,c4-standard-8-lssd,85.596,2026-06-03T20:29:49Z,b2c1873
analysis/full pipeline,c4-standard-8-lssd,82.504,2026-06-03T20:29:49Z,b2c1873
